product_id,name,category,price,cost,currency
P001,Wireless Mouse,Electronics,24.99,12.00,USD
P002,Mechanical Keyboard,Electronics,79.99,45.00,USD
P003,USB-C Charger,Electronics,19.99,8.50,USD
P004,Noise-Canceling Headphones,Electronics,129.99,70.00,USD
P005,4K Monitor,Electronics,329.00,220.00,USD
P006,Office Chair,Furniture,189.00,120.00,USD
P007,Standing Desk,Furniture,399.00,250.00,USD
P008,Notebook Pack,Stationery,9.99,4.00,USD
P009,Gel Pen Set,Stationery,6.49,2.50,USD
P010,Backpack,Accessories,59.99,28.00,USD
P011,Laptop Sleeve,Accessories,24.50,10.00,USD
P012,Webcam,Electronics,49.99,22.00,USD
P013,Portable SSD 1TB,Electronics,139.00,90.00,USD
P014,Smartwatch,Electronics,199.00,120.00,USD
P015,Ceramic Mug,Home,12.99,5.00,USD
P016,Desk Lamp,Home,34.99,15.00,USD

