payment_id,order_id,payment_date,method,amount,status
PMT2001,O1001,2024-05-10,Credit Card,49.98,Completed
PMT2002,O1002,2024-05-12,PayPal,79.99,Completed
PMT2003,O1003,2024-05-14,Credit Card,129.99,Completed
PMT2004,O1004,2024-05-18,Credit Card,329.00,Authorized
PMT2005,O1005,2024-05-20,PayPal,39.96,Completed
PMT2006,O1006,2024-05-22,Credit Card,399.00,Completed
PMT2007,O1007,2024-05-24,Debit Card,59.99,Completed
PMT2008,O1008,2024-05-26,PayPal,19.47,Completed
PMT2009,O1009,2024-05-28,Credit Card,49.99,Completed
PMT2010,O1010,2024-06-01,Credit Card,39.98,Completed
PMT2011,O1011,2024-06-03,Bank Transfer,189.00,Pending
PMT2012,O1012,2024-06-05,Credit Card,199.00,Completed
PMT2013,O1013,2024-06-07,Debit Card,69.98,Completed
PMT2014,O1014,2024-06-09,Credit Card,49.00,Completed
PMT2015,O1015,2024-06-11,PayPal,51.96,Completed
PMT2016,O1016,2024-06-13,Credit Card,139.00,Completed
PMT2017,O1017,2024-06-15,Bank Transfer,159.98,Authorized
PMT2018,O1018,2024-06-17,Debit Card,59.99,Pending

